,texts,polarity,subjectivity,positivity,negativity,neutrality,compound
112,"﻿4.0
Tengo buen servicio y tengo bastante GB. Además tiene un buen precio comparado con otras compañias.
",0.31875,0.51875,0.234,0.0,0.766,0.7003
113,"﻿4.0
Cumplen lo que dicen, aunque muy por los pelos
",0.2,0.3,0.172,0.0,0.828,0.4404
114,"﻿5.0
Cojonudos
",0.0,0.0,0.0,0.0,1.0,0.0
115,"﻿4.0
El apartado series a veces da problemas, pero el servicio de atencion al cliente es bueno y gratuito.
",0.55,0.7000000000000001,0.17,0.081,0.749,0.4588
116,"﻿5.0
Servicio excelente, el internet es una pasada y las peliculas que ofrecen en la tele son gratis y en HD!! recomendable 100%
",0.7000000000000001,0.9,0.38,0.0,0.62,0.9168
117,"﻿4.0
Me instalaron el router rapido y de momento va bien pero bueno un poco caro
",0.18249999999999997,0.6,0.244,0.0,0.756,0.7003
118,"﻿5.0
LlamÃ© por que mi router era muy antiguo, y me lo cambiaron por el Ãºltimo modelo sin poner ninguna pega. Muy buen servicio tÃ©cnico, llevo 4 aÃ±os y si siguen asÃ­ otros 4 que seguirÃ©.
",0.26,0.30166666666666675,0.128,0.0,0.872,0.6653
119,"﻿4.5
Muy bueno en tema calidad precio, del internet mas rÃ¡pido que puedes encontrar y sin ningÃºn problema, la mayor pega que le encuentro es que aveces suele haber mucha gente en la atenciÃ³n al cliente y ponerte en espera un poco, pero luego el servicio es muy amable y suelen hacer ofertas en las que te aumentan tu plan por el mismo precio, la instalaciÃ³n ha sido rÃ¡pida y puntual.
",0.41500000000000004,0.5008333333333334,0.175,0.0,0.825,0.9071
120,"﻿5.0
Un gran servicio con muy buenos paquetes, tengo a toda mi familia ahi y no lo cambiaria por nada, soy cliente habitual y me dan un trato excelente
",0.6775,0.6517307692307692,0.268,0.0,0.732,0.8999
121,"﻿4.0
Una compaÃ±ia buena. Precios buenos, oferta buena, algo de problemillas a veces respecto a la cobertura, pero en general bueno (calidad precio). Eso si, si necesitas cobertura al 100% todo el rato e internet rapido por motivos de trabajo, esta no es tu compaÃ±ia.
",0.5083333333333333,0.5833333333333334,0.283,0.034,0.683,0.9091
122,"﻿4.8
Me cambie de operador el otro dia a Orange, fue un trato muy rapido, me instalaron la fibra en menos de dos dias y y tiene un precio de los mejores del mercado
",0.24208333333333334,0.3804166666666667,0.11,0.0,0.89,0.6369
123,"﻿4.3
Amena para ser una compañia que no conoce casi nadie, da muy buenas prestaciones y a un mjuy buen precio 
",0.8049999999999999,0.6900000000000002,0.34,0.0,0.66,0.8506
124,"﻿4.1
Me pienso quedar en esta compaÃ±ia siempre, me gusta mucho todo.
Y encima me han dado el iphone 8s plus solo por 400 euros, MENUDO CHOLLO!!
200% recomendable
",0.25,0.2,0.149,0.0,0.851,0.5974
125,"﻿4.0
No da fallos. Funciona casi siempre. Un poco caro, sobre todo los extras. Estoy contento.
",0.02812500000000001,0.8,0.11,0.0,0.89,0.357
126,"﻿5.0
Trabajo para Vodafone.
",0.0,0.0,0.0,0.0,1.0,0.0
127,"﻿4.0
Ha mejorado mucho su servicio ofreciendo la tele con el futbol, ahora si merece la pena
",0.3,0.1,0.217,0.0,0.783,0.6124
128,"﻿5.0
La unica compaÃ±ia que gracias a dios para genter como yo que no usamos datos moviles ni contrato, sino prepago, el precio sigue siendo aceptable.
",0.1,0.6,0.153,0.0,0.847,0.5023
129,"﻿4.5
Son serios en las llamadas. No tuve que esperar mucho y me solucionaron el problema
",-0.19166666666666665,0.5333333333333333,0.084,0.159,0.757,-0.2263
130,"﻿5.0
Es perfecto! Tengo buena cobertura, buen precio, muchos gigas y encima las redes sociales no consumen! Recomendado
",0.49027777777777776,0.47777777777777786,0.329,0.052,0.619,0.8588
131,"﻿4.0
La verdad es que con vodafone estoy encantado, veo champions, liga y copa, y encima me pusieron el paquete de la premier league. No me despego de la tele. Encantado!
",0.875,0.7,0.265,0.0,0.735,0.857
